# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250401
# Fecha de finalización: 20250430
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
Inicio - Vulcano SA,0.02501774308019872,6788,515,3943,1185,2861,3908,1.736949846468782,26.229273285568066,47668
Ablandador de agua ABL-1044 (incluye salero) - Vulcano SA,0.12158808933002481,407,195,276,98,152,271,1.5018450184501846,49.306273062730625,1387
Bomba de calor POOL-INVERTER 25 - Vulcano SA,0.0765661252900232,476,159,314,124,167,307,1.5504885993485342,52.192182410423456,1495
Bomba de calor POOL-INVERTER 50 - Vulcano SA,0.07806691449814127,276,124,206,87,77,201,1.373134328358209,48.0547263681592,868
Filtro VC-30 para piscina - Vulcano SA,0.08031088082901554,408,84,299,119,114,288,1.4166666666666667,50.989583333333336,1215
Filtro VC-50 para piscina - Vulcano SA,0.08571428571428572,397,78,291,126,93,283,1.4028268551236749,46.886925795053,1176
Bomba para piscina BAE 075 - 0.75HP 220V monofásica - Vulcano SA,0.06756756756756757,249,59,178,67,63,176,1.4147727272727273,53.97159090909091,767
Skimmer boca chica H - Vulcano SA,0.10526315789473684,82,55,55,32,5,53,1.5471698113207548,48.39622641509434,261
Bomba para piscina BAE 050 - 0.50HP 220V monofásica - Vulcano SA,0.07692307692307693,307,53,215,89,98,211,1.4549763033175356,57.53080568720379,968
Bomba de calor POOL-INVERTER 75 - Vulcano SA,0.13986013986013987,136,51,103,52,30,102,1.3333333333333333,36.872549019607845,404
Dosificador de cloro - Vulcano SA,0.11949685534591195,158,48,120,39,78,120,1.3166666666666667,50.55833333333333,613
Bomba de calor POOL-INVERTER 110 - Vulcano SA,0.08461538461538462,130,43,95,50,14,94,1.3829787234042554,62.723404255319146,393
Bomba para piscina BAP 075 - 0.75HP 220V monofásica - Vulcano SA,0.05660377358490566,231,43,182,50,57,181,1.276243093922652,46.033149171270715,652
Bomba para piscina BAE 100 - 1.00HP 220V monofásica - Vulcano SA,0.0811965811965812,232,42,190,61,103,186,1.2473118279569892,58.655913978494624,773
Filtro VC-100 para piscina - Vulcano SA,0.14432989690721648,180,37,139,66,45,136,1.3235294117647058,47.86029411764706,555
Filtro VC-20 para piscina - Vulcano SA,0.06547619047619048,193,37,138,66,30,138,1.3985507246376812,52.289855072463766,509
Bomba para piscina BAP 100 - 1.00HP 220V monofásica - Vulcano SA,0.0872093023255814,179,34,134,53,26,133,1.3458646616541354,42.61654135338346,484
Post venta zuipy - Vulcano SA,0.06818181818181818,223,33,10,6,2,10,22.3,639.6,892
Filtro VC-10 para piscina - Vulcano SA,0.052941176470588235,176,28,127,59,32,127,1.3858267716535433,61.59055118110236,484
