# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250601
# Fecha de finalización: 20250630
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
Inicio - Vulcano SA,0.02568945976577257,6297,372,3581,1084,2554,3552,1.772804054054054,28.261542792792792,52019
Bomba de calor POOL-INVERTER 25 - Vulcano SA,0.07027027027027027,395,144,285,122,133,274,1.4416058394160585,38.98540145985402,1262
Ablandador de agua ABL-1044 (incluye salero) - Vulcano SA,0.07941176470588235,358,138,248,89,138,243,1.4732510288065843,40.991769547325106,1224
Bomba de calor POOL-INVERTER 50 - Vulcano SA,0.10588235294117647,252,97,180,89,62,176,1.4318181818181819,45.26704545454545,775
Filtro VC-30 para piscina - Vulcano SA,0.06930693069306931,407,66,311,126,134,307,1.3257328990228012,38.36482084690554,1194
Bomba para piscina BAE 075 - 0.75HP 220V monofásica - Vulcano SA,0.05622489959839357,259,55,171,74,58,165,1.5696969696969696,49.4969696969697,760
Filtro VC-50 para piscina - Vulcano SA,0.09117647058823529,332,50,259,113,92,253,1.3122529644268774,40.25296442687747,989
Skimmer boca chica H - Vulcano SA,0.07792207792207792,81,48,58,35,8,58,1.396551724137931,58.258620689655174,266
Bomba de calor POOL-INVERTER 75 - Vulcano SA,0.0962962962962963,130,45,87,44,24,84,1.5476190476190477,37.666666666666664,364
Bomba para piscina BAE 100 - 1.00HP 220V monofásica - Vulcano SA,0.05263157894736842,226,41,169,67,89,164,1.3780487804878048,54.701219512195124,747
Bomba para piscina BAE 050 - 0.50HP 220V monofásica - Vulcano SA,0.10377358490566038,207,38,161,71,68,159,1.3018867924528301,42.9496855345912,680
Material descarga ZUIPY - Vulcano SA,0.0625,86,38,56,24,25,50,1.72,23.62,276
Dosificador de cloro - Vulcano SA,0.13548387096774195,146,37,113,55,60,111,1.3153153153153154,51.78378378378378,513
Filtro VC-20 para piscina - Vulcano SA,0.07954545454545454,177,37,133,64,25,128,1.3828125,47.53125,492
Bomba de calor POOL-INVERTER 110 - Vulcano SA,0.09016393442622951,120,36,98,36,14,91,1.3186813186813187,48.69230769230769,315
"SuperLED luz RGB 14,4W - Vulcano SA",0.08333333333333333,76,36,54,30,2,51,1.4901960784313726,35.254901960784316,202
Bomba para piscina BAP 075 - 0.75HP 220V monofásica - Vulcano SA,0.05128205128205128,202,32,164,54,46,162,1.2469135802469136,45.52469135802469,592
Filtro VC-10 para piscina - Vulcano SA,0.1144578313253012,158,31,113,55,35,111,1.4234234234234233,50.6036036036036,500
Bomba para piscina BAC 200 - 2.00HP 220V monofásica - Vulcano SA,0.10852713178294573,136,29,93,49,30,91,1.4945054945054945,45.934065934065934,398
Bomba para piscina BAC 300-3 (MI) - 2.70HP 220V/380V trifásica - Vulcano SA,0.08088235294117647,141,26,87,55,21,85,1.6588235294117648,40.023529411764706,397
