# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250301
# Fecha de finalización: 20250331
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
Inicio - Vulcano SA,0.030691708657810353,7688,702,4539,1339,3215,4486,1.7137761925991974,26.969906375390103,56867
Bomba de calor POOL-INVERTER 25 - Vulcano SA,0.057649667405764965,471,165,335,118,190,325,1.4492307692307693,43.84,1548
Ablandador de agua ABL-1044 (incluye salero) - Vulcano SA,0.06097560975609756,352,137,258,75,157,255,1.380392156862745,45.82745098039216,1215
Filtro VC-30 para piscina - Vulcano SA,0.0779816513761468,679,130,475,190,214,460,1.4760869565217392,55.46521739130435,2063
Bomba de calor POOL-INVERTER 50 - Vulcano SA,0.07509881422924901,259,97,188,70,81,185,1.4,41.03243243243243,798
Bomba para piscina BAE 075 - 0.75HP 220V monofásica - Vulcano SA,0.07579462102689487,431,81,317,127,117,317,1.359621451104101,52.94952681388013,1315
Filtro VC-50 para piscina - Vulcano SA,0.0684931506849315,528,81,404,149,146,392,1.346938775510204,60.80612244897959,1548
Bomba para piscina BAE 050 - 0.50HP 220V monofásica - Vulcano SA,0.04533333333333334,414,78,308,113,121,303,1.3663366336633664,51.37623762376238,1278
Bomba para piscina BAE 100 - 1.00HP 220V monofásica - Vulcano SA,0.06596306068601583,408,67,302,102,147,294,1.3877551020408163,60.98979591836735,1328
Bomba para piscina BAP 075 - 0.75HP 220V monofásica - Vulcano SA,0.05647840531561462,328,54,253,73,91,252,1.3015873015873016,46.948412698412696,950
Filtro VC-100 para piscina - Vulcano SA,0.0423728813559322,264,51,168,74,51,166,1.5903614457831325,56.71686746987952,771
Bomba de calor POOL-INVERTER 110 - Vulcano SA,0.08620689655172414,119,46,91,44,17,91,1.3076923076923077,46.30769230769231,332
Bomba para piscina BAP 100 - 1.00HP 220V monofásica - Vulcano SA,0.05019305019305019,278,46,205,76,45,203,1.3694581280788178,48.51231527093596,758
Ionizador solar ION-100 - Vulcano SA,0.0502092050209205,250,44,190,72,93,187,1.3368983957219251,44.3475935828877,795
Dosificador de cloro - Vulcano SA,0.1130952380952381,173,42,130,52,72,130,1.3307692307692307,58.86153846153846,580
Skimmer boca chica H - Vulcano SA,0.07547169811320754,118,42,77,50,12,75,1.5733333333333333,63.54666666666667,356
Filtro VC-20 para piscina - Vulcano SA,0.07569721115537849,263,40,180,87,45,173,1.5202312138728324,53.36416184971098,717
Filtro VC-10 para piscina - Vulcano SA,0.07042253521126761,207,37,169,71,57,161,1.2857142857142858,46.06211180124224,601
Bomba para piscina BAE 033 - 0.33HP 220V monofásica - Vulcano SA,0.07650273224043716,192,35,152,67,29,151,1.271523178807947,49.397350993377486,553
Filtro VC-200 para piscina - Vulcano SA,0.06015037593984962,139,35,108,52,30,103,1.3495145631067962,51.53398058252427,425
Bomba de calor POOL-INVERTER 75 - Vulcano SA,0.06862745098039216,104,34,79,33,19,76,1.368421052631579,48.026315789473685,306
LUMIPOOL 9W luz RGB - Vulcano SA,0.10909090909090909,56,29,37,29,2,37,1.5135135135135136,28.864864864864863,160
Bomba para piscina BAC 300-3 (MI) - 2.70HP 220V/380V trifásica - Vulcano SA,0.07258064516129033,131,27,96,43,28,92,1.423913043478261,53.76086956521739,361
Filtro VC-250 para piscina - Vulcano SA,0.11224489795918367,102,26,70,35,13,70,1.457142857142857,46.27142857142857,306
Bomba para piscina BAP 050 (AL) - 0.50HP 220V monofásica - Vulcano SA,0.05,157,24,113,44,31,113,1.3893805309734513,52.04424778761062,421
Controlador solar MMZ - Vulcano SA,0.11428571428571428,35,23,27,10,11,26,1.3461538461538463,45.53846153846154,112
LUMIPOOL 9W luz blanca - Vulcano SA,0,34,22,27,16,0,27,1.2592592592592593,23.814814814814813,98
"SuperLED luz RGB 14,4W - Vulcano SA",0.058823529411764705,72,21,53,31,4,52,1.3846153846153846,34.78846153846154,204
Bomba para piscina BAC 150 - 1.50HP 220V monofásica - Vulcano SA,0.09345794392523364,105,20,83,40,20,81,1.2962962962962963,52.407407407407405,302
SuperLED luz blanca 12W - Vulcano SA,0.05555555555555555,36,20,27,16,2,27,1.3333333333333333,36.74074074074074,106
Bomba para piscina BAP 033 (AL) - 0.33HP 220V monofásica - Vulcano SA,0.05,138,18,106,39,0,106,1.3018867924528301,42.4811320754717,316
