# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250501
# Fecha de finalización: 20250531
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
Inicio - Vulcano SA,0.030431107354184278,7249,480,4000,1245,2814,3958,1.8314805457301668,27.653865588681153,53829
Ablandador de agua ABL-1044 (incluye salero) - Vulcano SA,0.07086614173228346,403,196,279,93,149,276,1.460144927536232,47.27536231884058,1372
Material descarga ZUIPY - Vulcano SA,0.06204379562043796,334,186,197,94,108,189,1.7671957671957672,22.502645502645503,1125
Bomba de calor POOL-INVERTER 25 - Vulcano SA,0.06490384615384616,435,164,311,119,163,303,1.4356435643564356,37.759075907590756,1415
Bomba de calor POOL-INVERTER 50 - Vulcano SA,0.10588235294117647,260,117,189,72,65,185,1.4054054054054055,35.064864864864866,796
Filtro VC-50 para piscina - Vulcano SA,0.08629441624365482,410,82,295,130,94,287,1.4285714285714286,60.09756097560975,1190
Bomba para piscina BAE 100 - 1.00HP 220V monofásica - Vulcano SA,0.06428571428571428,326,57,215,76,114,212,1.5377358490566038,41.886792452830186,996
Filtro VC-30 para piscina - Vulcano SA,0.07008086253369272,377,57,275,120,107,271,1.3911439114391144,50.93357933579336,1105
Mi ZUIPY - Vulcano SA,0.06282722513089005,235,54,111,77,10,110,2.1363636363636362,80.33636363636364,1461
Bomba para piscina BAE 050 - 0.50HP 220V monofásica - Vulcano SA,0.09090909090909091,295,50,198,87,85,192,1.5364583333333333,66.609375,919
Bomba de calor POOL-INVERTER 110 - Vulcano SA,0.1044776119402985,133,48,100,50,15,98,1.3571428571428572,43.785714285714285,378
Filtro VC-100 para piscina - Vulcano SA,0.09956709956709957,240,48,151,79,30,148,1.6216216216216217,70.79054054054055,689
Bomba para piscina BAE 075 - 0.75HP 220V monofásica - Vulcano SA,0.08550185873605948,279,44,196,83,59,189,1.4761904761904763,45.98941798941799,820
